Duration_sec,Rate_flows_sec,Error_Threshold_pct,Sampling_Ratio_pct,S_Queue,S_Hop,S_Egress
60,0.43,6.0,1.38,1,6,16
60,0.43,7.0,1.38,1,1,11
60,0.43,8.0,1.38,1,1,11
60,0.45,2.0,100.0,16,8,4
60,0.45,3.0,100.0,10,4,2
60,0.45,4.0,89.51,3,1,1
60,0.45,5.0,51.15,3,2,1
60,0.45,6.0,38.36,2,2,1
60,0.45,7.0,25.57,3,1,1
60,0.45,8.0,2.5,16,1,11
60,0.47,2.0,100.0,12,2,6
60,0.47,3.0,80.64,4,1,2
60,0.47,4.0,69.12,1,1,2
60,0.47,5.0,2.25,1,26,21
60,0.47,6.0,2.25,1,21,16
60,0.47,7.0,2.25,1,16,11
60,0.47,8.0,2.25,1,11,11
60,0.49,2.0,100.0,8,4,2
60,0.49,3.0,63.65,5,2,1
60,0.49,4.0,40.5,4,2,1
60,0.49,5.0,23.14,5,2,1
60,0.49,6.0,17.36,5,3,1
60,0.49,7.0,11.57,5,2,1
60,0.49,8.0,11.57,2,1,1
60,0.51,2.0,69.87,3,1,2
60,0.51,3.0,33.09,3,1,2
60,0.51,4.0,22.06,3,1,2
60,0.51,5.0,14.71,3,2,1
60,0.51,6.0,11.03,2,1,1
60,0.51,7.0,7.35,2,2,1
60,0.51,8.0,0.72,1,11,11
60,0.53,2.0,31.62,13,1,7
60,0.53,3.0,23.72,12,1,4
60,0.53,4.0,15.81,11,1,4
60,0.53,5.0,15.81,6,1,3
60,0.53,6.0,1.54,1,11,16
60,0.53,7.0,1.54,1,11,11
60,0.53,8.0,1.54,1,11,11
60,0.55,2.0,100.0,6,4,2
60,0.55,3.0,72.69,3,3,1
60,0.55,4.0,33.04,1,3,2
60,0.55,5.0,1.29,1,41,21
60,0.55,6.0,1.29,1,21,16
60,0.55,7.0,1.29,1,6,11
60,0.55,8.0,1.29,1,6,11
60,0.57,2.0,64.15,4,1,2
60,0.57,3.0,25.66,3,1,2
60,0.57,4.0,0.84,1,26,36
60,0.57,5.0,0.84,1,21,21
60,0.57,6.0,0.84,1,16,16
60,0.57,7.0,0.84,1,16,11
60,0.57,8.0,0.84,1,11,11
60,0.59,2.0,78.89,3,2,1
60,0.59,3.0,36.16,4,2,1
60,0.59,4.0,23.01,3,2,1
60,0.59,5.0,13.15,3,3,1
60,0.59,6.0,3.29,1,6,3
60,0.59,7.0,0.64,1,16,11
60,0.59,8.0,0.64,1,11,11
60,0.61,2.0,51.19,6,1,2
60,0.61,3.0,32.91,8,1,2
60,0.61,4.0,14.62,11,1,2
60,0.61,5.0,10.97,8,1,2
60,0.61,6.0,7.31,2,1,2
60,0.61,7.0,0.71,1,11,11
60,0.61,8.0,0.71,1,11,11
60,0.63,2.0,40.56,5,1,2
60,0.63,3.0,13.52,9,1,2
60,0.63,4.0,9.01,8,1,2
60,0.63,5.0,6.76,8,1,2
60,0.63,6.0,4.51,8,1,2
60,0.63,7.0,4.51,6,1,1
60,0.63,8.0,4.51,3,1,1
60,0.65,2.0,98.76,4,2,1
60,0.65,3.0,45.27,7,2,1
60,0.65,4.0,28.81,9,3,1
60,0.65,5.0,16.46,10,3,1
60,0.65,6.0,12.35,8,3,1
60,0.65,7.0,8.23,5,3,1
60,0.65,8.0,0.8,1,21,11
60,0.67,2.0,76.53,4,2,1
60,0.67,3.0,35.08,4,2,1
60,0.67,4.0,22.32,6,2,1
60,0.67,5.0,12.76,5,3,1
60,0.67,6.0,9.57,1,2,1
60,0.67,7.0,0.62,1,16,11
60,0.67,8.0,0.62,1,11,11
60,0.69,2.0,90.8,6,1,2
60,0.69,3.0,60.53,6,1,2
60,0.69,4.0,45.4,4,1,2
60,0.69,5.0,30.27,2,2,1
60,0.69,6.0,1.48,1,21,16
60,0.69,7.0,1.48,1,16,11
60,0.69,8.0,1.48,1,11,11
60,0.71,2.0,57.33,3,1,2
60,0.71,3.0,28.66,3,2,1
60,0.71,4.0,18.24,2,1,1
60,0.71,5.0,10.42,3,2,1
60,0.71,6.0,7.82,1,2,1
60,0.71,7.0,0.51,1,16,11
60,0.71,8.0,0.51,1,16,11
60,0.73,2.0,26.16,17,1,7
60,0.73,3.0,19.62,12,1,4
60,0.73,4.0,13.08,13,1,4
60,0.73,5.0,13.08,9,1,3
60,0.73,6.0,13.08,5,1,2
60,0.73,7.0,13.08,2,1,1
60,0.73,8.0,1.28,11,1,11
60,0.75,2.0,100.0,6,4,2
60,0.75,3.0,56.72,4,3,1
60,0.75,4.0,36.09,3,2,1
60,0.75,5.0,5.16,1,7,4
60,0.75,6.0,1.01,1,21,16
60,0.75,7.0,1.01,1,16,11
60,0.75,8.0,1.01,1,11,11
60,0.77,2.0,54.66,7,1,2
60,0.77,3.0,31.24,9,1,2
60,0.77,4.0,19.52,10,1,2
60,0.77,5.0,11.71,3,1,2
60,0.77,6.0,0.76,1,11,16
60,0.77,7.0,0.76,1,11,11
60,0.77,8.0,0.76,1,11,11
60,0.79,2.0,100.0,8,2,4
60,0.79,3.0,64.04,5,1,2
60,0.79,4.0,48.03,3,1,2
60,0.79,5.0,1.56,1,16,21
60,0.79,6.0,1.56,1,11,16
60,0.79,7.0,1.56,1,11,11
60,0.79,8.0,1.56,1,1,11
60,0.81,2.0,43.67,3,3,1
60,0.81,3.0,20.02,4,2,1
60,0.81,4.0,10.92,4,1,2
60,0.81,5.0,7.28,3,2,1
60,0.81,6.0,3.64,1,3,2
60,0.81,7.0,0.36,1,16,11
60,0.81,8.0,0.36,1,11,11
60,0.83,2.0,100.0,12,6,3
60,0.83,3.0,99.41,6,2,1
60,0.83,4.0,63.26,5,2,1
60,0.83,5.0,9.04,1,6,4
60,0.83,6.0,1.77,1,16,16
60,0.83,7.0,1.77,1,11,11
60,0.83,8.0,1.77,1,6,11
60,0.85,2.0,100.0,8,4,2
60,0.85,3.0,85.38,5,2,1
60,0.85,4.0,54.33,2,2,1
60,0.85,5.0,7.76,1,4,4
60,0.85,6.0,1.52,1,16,16
60,0.85,7.0,1.52,1,11,11
60,0.85,8.0,1.52,1,11,11
60,0.87,2.0,49.12,4,3,1
60,0.87,3.0,22.52,7,4,1
60,0.87,4.0,14.33,8,3,1
60,0.87,5.0,8.19,10,3,1
60,0.87,6.0,6.14,9,3,1
60,0.87,7.0,4.09,9,3,1
60,0.87,8.0,4.09,6,2,1
60,0.89,2.0,97.37,4,1,2
60,0.89,3.0,63.01,2,1,1
60,0.89,4.0,1.12,1,36,36
60,0.89,5.0,1.12,1,26,21
60,0.89,6.0,1.12,1,21,16
60,0.89,7.0,1.12,1,16,11
60,0.89,8.0,1.12,1,6,11
60,0.91,2.0,31.27,3,1,2
60,0.91,3.0,17.59,3,1,2
60,0.91,4.0,13.68,2,1,1
60,0.91,5.0,7.82,2,2,1
60,0.91,6.0,3.91,1,2,2
60,0.91,7.0,0.38,1,16,11
60,0.91,8.0,0.38,1,11,11
60,0.93,2.0,65.72,4,2,1
60,0.93,3.0,30.12,7,2,1
60,0.93,4.0,19.17,7,2,1
60,0.93,5.0,10.95,8,2,1
60,0.93,6.0,8.21,6,2,1
60,0.93,7.0,5.48,5,2,1
60,0.93,8.0,5.48,1,1,1
60,0.95,2.0,25.47,4,1,2
60,0.95,3.0,12.13,4,1,2
60,0.95,4.0,8.49,4,2,1
60,0.95,5.0,4.85,4,2,1
60,0.95,6.0,3.64,1,2,1
60,0.95,7.0,0.24,1,16,11
60,0.95,8.0,0.24,1,16,11
60,0.97,2.0,33.45,4,2,1
60,0.97,3.0,14.72,6,2,1
60,0.97,4.0,9.37,6,2,1
60,0.97,5.0,5.35,7,2,1
60,0.97,6.0,4.01,6,2,1
60,0.97,7.0,2.68,4,2,1
60,0.97,8.0,2.68,3,2,1
60,0.99,2.0,38.59,3,1,2
60,0.99,3.0,19.3,4,2,1
60,0.99,4.0,12.28,4,2,1
60,0.99,5.0,7.02,4,2,1
60,0.99,6.0,5.26,3,2,1
60,0.99,7.0,3.51,3,2,1
60,0.99,8.0,3.51,1,1,1
120,0.01,2.0,1.0,1,1,1
120,0.01,3.0,1.0,1,1,1
120,0.01,4.0,1.0,1,1,1
120,0.01,5.0,1.0,1,1,1
120,0.01,6.0,1.0,1,1,1
120,0.01,7.0,1.0,1,1,1
120,0.01,8.0,1.0,1,1,1
120,0.03,2.0,100.0,24,6,12
120,0.03,3.0,100.0,20,2,4
120,0.03,4.0,5.23,1,16,36
120,0.03,5.0,5.23,1,11,21
120,0.03,6.0,5.23,1,11,16
120,0.03,7.0,5.23,1,1,11
120,0.03,8.0,5.23,1,1,11
120,0.05,2.0,7.03,1,1,1
120,0.05,3.0,7.03,1,1,1
120,0.05,4.0,7.03,1,1,1
120,0.05,5.0,7.03,1,1,1
120,0.05,6.0,7.03,1,1,1
120,0.05,7.0,7.03,1,1,1
120,0.05,8.0,7.03,1,1,1
120,0.07,2.0,100.0,32,8,16
120,0.07,3.0,100.0,4,4,8
120,0.07,4.0,9.7,1,26,36
120,0.07,5.0,9.7,1,16,21
120,0.07,6.0,9.7,1,16,16
120,0.07,7.0,9.7,1,11,11
120,0.07,8.0,9.7,1,11,11
120,0.09,2.0,100.0,9,6,3
120,0.09,3.0,100.0,4,4,2
120,0.09,4.0,2.11,1,36,36
120,0.09,5.0,2.11,1,21,21
120,0.09,6.0,2.11,1,11,16
120,0.09,7.0,2.11,1,1,11
120,0.09,8.0,2.11,1,1,11
120,0.11,2.0,100.0,18,6,12
120,0.11,3.0,100.0,8,4,4
120,0.11,4.0,100.0,4,2,2
120,0.11,5.0,100.0,4,4,2
120,0.11,6.0,83.85,2,2,1
120,0.11,7.0,55.9,2,2,1
120,0.11,8.0,55.9,1,1,1
120,0.13,2.0,46.69,5,1,2
120,0.13,3.0,28.53,6,2,1
120,0.13,4.0,18.16,6,2,1
120,0.13,5.0,10.38,5,2,1
120,0.13,6.0,7.78,1,2,1
120,0.13,7.0,0.51,1,16,11
120,0.13,8.0,0.51,1,11,11
120,0.15,2.0,100.0,8,2,4
120,0.15,3.0,58.79,4,1,2
120,0.15,4.0,1.44,1,21,36
120,0.15,5.0,1.44,1,16,21
120,0.15,6.0,1.44,1,11,16
120,0.15,7.0,1.44,1,11,11
120,0.15,8.0,1.44,1,6,11
120,0.17,2.0,100.0,27,18,9
120,0.17,3.0,100.0,16,8,4
120,0.17,4.0,100.0,3,6,3
120,0.17,5.0,6.7,1,31,21
120,0.17,6.0,6.7,1,21,16
120,0.17,7.0,6.7,1,16,11
120,0.17,8.0,6.7,1,16,11
120,0.19,2.0,99.1,7,1,2
120,0.19,3.0,38.11,11,1,3
120,0.19,4.0,22.87,10,1,3
120,0.19,5.0,1.49,1,16,21
120,0.19,6.0,1.49,1,11,16
120,0.19,7.0,1.49,1,11,11
120,0.19,8.0,1.49,1,11,11
120,0.21,2.0,100.0,4,2,4
120,0.21,3.0,55.05,2,2,1
120,0.21,4.0,10.01,1,5,4
120,0.21,5.0,0.98,1,26,21
120,0.21,6.0,0.98,1,16,16
120,0.21,7.0,0.98,1,11,11
120,0.21,8.0,0.98,1,1,11
120,0.23,2.0,100.0,8,2,4
120,0.23,3.0,92.16,3,1,2
120,0.23,4.0,1.8,1,31,36
120,0.23,5.0,1.8,1,16,21
120,0.23,6.0,1.8,1,16,16
120,0.23,7.0,1.8,1,11,11
120,0.23,8.0,1.8,1,11,11
120,0.25,2.0,21.48,11,1,4
120,0.25,3.0,15.34,12,1,3
120,0.25,4.0,12.27,10,1,2
120,0.25,5.0,9.21,4,1,2
120,0.25,6.0,3.07,1,2,3
120,0.25,7.0,0.6,1,11,11
120,0.25,8.0,0.6,1,11,11
120,0.27,2.0,100.0,27,3,9
120,0.27,3.0,100.0,16,2,4
120,0.27,4.0,93.42,1,2,2
120,0.27,5.0,4.56,1,21,21
120,0.27,6.0,4.56,1,16,16
120,0.27,7.0,4.56,1,11,11
120,0.27,8.0,4.56,1,11,11
120,0.29,2.0,100.0,6,4,2
120,0.29,3.0,72.32,4,2,1
120,0.29,4.0,46.02,1,2,1
120,0.29,5.0,1.28,1,31,21
120,0.29,6.0,1.28,1,21,16
120,0.29,7.0,1.28,1,16,11
120,0.29,8.0,1.28,1,11,11
120,0.31,2.0,93.5,4,4,1
120,0.31,3.0,42.85,7,4,1
120,0.31,4.0,27.27,10,4,1
120,0.31,5.0,15.58,6,3,1
120,0.31,6.0,11.69,2,3,1
120,0.31,7.0,0.76,1,31,11
120,0.31,8.0,0.76,1,21,11
120,0.33,2.0,78.34,2,1,2
120,0.33,3.0,41.47,2,1,2
120,0.33,4.0,13.82,1,3,3
120,0.33,5.0,0.9,1,21,21
120,0.33,6.0,0.9,1,16,16
120,0.33,7.0,0.9,1,11,11
120,0.33,8.0,0.9,1,1,11
120,0.35,2.0,82.89,5,1,2
120,0.35,3.0,53.64,7,2,1
120,0.35,4.0,34.13,8,2,1
120,0.35,5.0,19.5,8,2,1
120,0.35,6.0,14.63,2,1,1
120,0.35,7.0,0.95,1,11,11
120,0.35,8.0,0.95,1,6,11
120,0.37,2.0,96.89,3,2,1
120,0.37,3.0,36.33,5,1,2
120,0.37,4.0,20.19,5,1,2
120,0.37,5.0,16.15,5,1,1
120,0.37,6.0,8.07,1,2,2
120,0.37,7.0,0.79,1,11,11
120,0.37,8.0,0.79,1,1,11
120,0.39,2.0,87.54,6,1,2
120,0.39,3.0,56.28,7,1,2
120,0.39,4.0,37.52,7,1,2
120,0.39,5.0,25.01,3,2,1
120,0.39,6.0,18.76,2,2,1
120,0.39,7.0,1.22,1,16,11
120,0.39,8.0,1.22,1,16,11
120,0.41,2.0,25.75,6,1,2
120,0.41,3.0,17.83,6,1,2
120,0.41,4.0,13.87,4,1,1
120,0.41,5.0,7.92,5,2,1
120,0.41,6.0,5.94,5,2,1
120,0.41,7.0,3.96,5,2,1
120,0.41,8.0,3.96,2,2,1
120,0.43,2.0,62.22,5,1,2
120,0.43,3.0,32.75,6,1,2
120,0.43,4.0,19.65,4,1,2
120,0.43,5.0,13.1,3,2,1
120,0.43,6.0,9.82,3,2,1
120,0.43,7.0,6.55,1,2,1
120,0.43,8.0,3.27,1,2,2
120,0.45,2.0,12.91,13,1,5
120,0.45,3.0,10.33,12,1,3
120,0.45,4.0,7.75,11,1,3
120,0.45,5.0,7.75,8,1,2
120,0.45,6.0,7.75,5,1,1
120,0.45,7.0,5.16,4,2,1
120,0.45,8.0,5.16,2,1,1
120,0.47,2.0,100.0,6,4,2
120,0.47,3.0,74.33,4,2,1
120,0.47,4.0,47.3,2,2,1
120,0.47,5.0,20.27,2,1,2
120,0.47,6.0,1.32,1,6,16
120,0.47,7.0,1.32,1,1,11
120,0.47,8.0,1.32,1,1,11
120,0.49,2.0,25.57,6,1,3
120,0.49,3.0,14.92,8,1,2
120,0.49,4.0,8.52,4,1,2
120,0.49,5.0,8.52,2,1,1
120,0.49,6.0,0.42,1,16,16
120,0.49,7.0,0.42,1,16,11
120,0.49,8.0,0.42,1,11,11
120,0.51,2.0,27.63,5,1,2
120,0.51,3.0,15.19,7,1,1
120,0.51,4.0,9.67,9,2,1
120,0.51,5.0,5.53,11,2,1
120,0.51,6.0,4.14,11,2,1
120,0.51,7.0,2.76,11,3,1
120,0.51,8.0,2.76,8,2,1
120,0.53,2.0,16.55,10,1,3
120,0.53,3.0,12.87,10,1,2
120,0.53,4.0,11.03,8,1,2
120,0.53,5.0,7.35,9,1,1
120,0.53,6.0,5.52,7,2,1
120,0.53,7.0,3.68,7,2,1
120,0.53,8.0,3.68,5,1,1
120,0.55,2.0,63.47,2,3,1
120,0.55,3.0,29.09,3,3,1
120,0.55,4.0,13.22,1,5,2
120,0.55,5.0,0.52,1,67,21
120,0.55,6.0,0.52,1,52,16
120,0.55,7.0,0.52,1,26,11
120,0.55,8.0,0.52,1,16,11
120,0.57,2.0,38.87,4,2,1
120,0.57,3.0,17.82,7,2,1
120,0.57,4.0,11.34,7,2,1
120,0.57,5.0,6.48,7,2,1
120,0.57,6.0,4.86,5,2,1
120,0.57,7.0,3.24,1,2,1
120,0.57,8.0,0.32,1,16,11
120,0.59,2.0,12.62,12,1,4
120,0.59,3.0,10.52,10,1,3
120,0.59,4.0,8.42,7,1,2
120,0.59,5.0,6.31,4,1,2
120,0.59,6.0,4.21,5,1,2
120,0.59,7.0,4.21,3,1,1
120,0.59,8.0,4.21,2,1,1
120,0.61,2.0,15.12,5,1,2
120,0.61,3.0,9.07,7,1,2
120,0.61,4.0,6.05,7,1,2
120,0.61,5.0,4.03,6,2,1
120,0.61,6.0,3.02,6,2,1
120,0.61,7.0,2.02,5,2,1
120,0.61,8.0,2.02,2,2,1
120,0.63,2.0,51.49,4,1,2
120,0.63,3.0,26.97,5,2,1
120,0.63,4.0,9.81,1,2,2
120,0.63,5.0,0.48,1,26,21
120,0.63,6.0,0.48,1,21,16
120,0.63,7.0,0.48,1,16,11
120,0.63,8.0,0.48,1,11,11
120,0.65,2.0,15.5,8,1,5
120,0.65,3.0,7.75,10,1,4
120,0.65,4.0,7.75,7,1,3
120,0.65,5.0,7.75,5,1,2
120,0.65,6.0,7.75,3,1,1
120,0.65,7.0,0.5,1,11,11
120,0.65,8.0,0.5,1,11,11
120,0.67,2.0,29.4,7,1,3
120,0.67,3.0,16.03,8,1,2
120,0.67,4.0,10.69,9,1,2
120,0.67,5.0,10.69,4,1,1
120,0.67,6.0,0.52,1,16,16
120,0.67,7.0,0.52,1,16,11
120,0.67,8.0,0.52,1,16,11
120,0.69,2.0,4.82,25,1,9
120,0.69,3.0,3.21,27,1,6
120,0.69,4.0,3.21,15,1,4
120,0.69,5.0,0.31,47,1,21
120,0.69,6.0,0.31,21,1,16
120,0.69,7.0,0.31,1,1,11
120,0.69,8.0,0.31,1,1,11
120,0.71,2.0,64.71,3,2,1
120,0.71,3.0,29.66,3,3,1
120,0.71,4.0,0.53,1,93,36
120,0.71,5.0,0.53,1,67,21
120,0.71,6.0,0.53,1,47,16
120,0.71,7.0,0.53,1,26,11
120,0.71,8.0,0.53,1,26,11
120,0.73,2.0,63.67,3,1,1
120,0.73,3.0,29.18,4,2,1
120,0.73,4.0,18.57,3,2,1
120,0.73,5.0,10.61,3,2,1
